Domain,Area,Element,Item,Year,Unit,Value
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),1990,t,444
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),1991,t,998
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),1992,t,1354
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),1993,t,1432
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),1994,t,3628
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),1995,t,3728
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),1996,t,3965
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),1997,t,1801
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),1998,t,2053
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),1999,t,2124
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2000,t,1979
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2001,t,1841
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2002,t,1665
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2003,t,1716
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2004,t,1802
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2005,t,2085
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2006,t,2193
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2007,t,1919
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2008,t,2158
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2009,t,2182
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2010,t,2758
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2011,t,3144
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2012,t,3971
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2013,t,4476
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2014,t,4661
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2015,t,4764
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2016,t,4773
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2017,t,5293
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2018,t,6074
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2019,t,6587
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2020,t,6228
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2021,t,5141
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2022,t,5110
Pesticides Use,Kenya,Agricultural Use,Pesticides (total),2023,t,5162
