Year,Crop,Predicted_Yield_hg_ha,Prediction_Lower_95,Prediction_Upper_95,Temp_Delta_Cumulative,Rainfall_Change_Cumulative_pct,Forecast_Scenario,Reference_Prediction,Change_vs_reference_pct
2025,Sugar cane,667844.357,561022.597,774666.117,0.03,0.0,Reference warming trend,667844.357,0.0
2030,Sugar cane,646700.423,539878.663,753522.183,0.18,0.0,Reference warming trend,646700.423,0.0
2035,Sugar cane,639543.325,532721.565,746365.086,0.33,0.0,Reference warming trend,639543.325,0.0
2025,Sugar cane,670889.033,564067.273,777710.793,0.1,-1.0,Moderate warming + drying,667844.357,0.456
2030,Sugar cane,680465.373,573643.612,787287.133,0.6,-6.0,Moderate warming + drying,646700.423,5.221
2035,Sugar cane,707455.994,600634.234,814277.754,1.1,-11.0,Moderate warming + drying,639543.325,10.619
2025,Sugar cane,673325.334,566503.574,780147.094,0.2,-2.0,Severe warming + drying,667844.357,0.821
2030,Sugar cane,707483.543,600661.783,814305.303,1.2,-12.0,Severe warming + drying,646700.423,9.399
2035,Sugar cane,614118.05,507296.29,720939.81,2.2,-22.0,Severe warming + drying,639543.325,-3.976
2025,Sugar cane,661960.597,555138.837,768782.358,0.1,1.0,Warming + wetter rainfall,667844.357,-0.881
2030,Sugar cane,581450.503,474628.743,688272.263,0.6,6.0,Warming + wetter rainfall,646700.423,-10.09
2035,Sugar cane,761776.517,654954.757,868598.277,1.1,11.0,Warming + wetter rainfall,639543.325,19.113
2025,Potatoes,130267.116,98052.697,162481.535,0.03,0.0,Reference warming trend,130267.116,0.0
2030,Potatoes,130294.569,98080.15,162508.988,0.18,0.0,Reference warming trend,130294.569,0.0
2035,Potatoes,130294.569,98080.15,162508.988,0.33,0.0,Reference warming trend,130294.569,0.0
2025,Potatoes,130253.691,98039.272,162468.11,0.1,-1.0,Moderate warming + drying,130267.116,-0.01
2030,Potatoes,129420.944,97206.525,161635.363,0.6,-6.0,Moderate warming + drying,130294.569,-0.671
2035,Potatoes,129355.308,97140.889,161569.727,1.1,-11.0,Moderate warming + drying,130294.569,-0.721
2025,Potatoes,130245.069,98030.65,162459.488,0.2,-2.0,Severe warming + drying,130267.116,-0.017
2030,Potatoes,113481.052,81266.633,145695.471,1.2,-12.0,Severe warming + drying,130294.569,-12.904
2035,Potatoes,110170.289,77955.87,142384.708,2.2,-22.0,Severe warming + drying,130294.569,-15.445
2025,Potatoes,130481.212,98266.793,162695.63,0.1,1.0,Warming + wetter rainfall,130267.116,0.164
2030,Potatoes,130522.09,98307.671,162736.509,0.6,6.0,Warming + wetter rainfall,130294.569,0.175
2035,Potatoes,130513.18,98298.761,162727.599,1.1,11.0,Warming + wetter rainfall,130294.569,0.168
2025,Tomatoes,210391.156,135881.929,284900.384,0.03,0.0,Reference warming trend,210391.156,0.0
2030,Tomatoes,209064.812,134555.585,283574.04,0.18,0.0,Reference warming trend,209064.812,0.0
2035,Tomatoes,209064.812,134555.585,283574.04,0.33,0.0,Reference warming trend,209064.812,0.0
2025,Tomatoes,209839.219,135329.991,284348.446,0.1,-1.0,Moderate warming + drying,210391.156,-0.262
2030,Tomatoes,202038.766,127529.538,276547.993,0.6,-6.0,Moderate warming + drying,209064.812,-3.361
2035,Tomatoes,208587.016,134077.788,283096.243,1.1,-11.0,Moderate warming + drying,209064.812,-0.229
2025,Tomatoes,214621.969,140112.741,289131.196,0.2,-2.0,Severe warming + drying,210391.156,2.011
2030,Tomatoes,202277.453,127768.225,276786.681,1.2,-12.0,Severe warming + drying,209064.812,-3.247
2035,Tomatoes,210263.578,135754.35,284772.806,2.2,-22.0,Severe warming + drying,209064.812,0.573
2025,Tomatoes,209598.359,135089.132,284107.587,0.1,1.0,Warming + wetter rainfall,210391.156,-0.377
2030,Tomatoes,207947.766,133438.538,282456.993,0.6,6.0,Warming + wetter rainfall,209064.812,-0.534
2035,Tomatoes,205362.516,130853.288,279871.743,1.1,11.0,Warming + wetter rainfall,209064.812,-1.771
2025,Bananas,230168.783,180689.481,279648.086,0.03,0.0,Reference warming trend,230168.783,0.0
2030,Bananas,192220.977,142741.674,241700.279,0.18,0.0,Reference warming trend,192220.977,0.0
2035,Bananas,199841.212,150361.909,249320.514,0.33,0.0,Reference warming trend,199841.212,0.0
2025,Bananas,233889.792,184410.49,283369.094,0.1,-1.0,Moderate warming + drying,230168.783,1.617
2030,Bananas,236234.219,186754.916,285713.521,0.6,-6.0,Moderate warming + drying,192220.977,22.897
2035,Bananas,302019.252,252539.95,351498.554,1.1,-11.0,Moderate warming + drying,199841.212,51.13
2025,Bananas,239166.197,189686.894,288645.499,0.2,-2.0,Severe warming + drying,230168.783,3.909
2030,Bananas,298645.166,249165.863,348124.468,1.2,-12.0,Severe warming + drying,192220.977,55.366
2035,Bananas,448897.423,399418.12,498376.725,2.2,-22.0,Severe warming + drying,199841.212,124.627
2025,Bananas,233706.289,184226.987,283185.592,0.1,1.0,Warming + wetter rainfall,230168.783,1.537
2030,Bananas,234063.691,184584.389,283542.994,0.6,6.0,Warming + wetter rainfall,192220.977,21.768
2035,Bananas,331005.888,281526.586,380485.19,1.1,11.0,Warming + wetter rainfall,199841.212,65.634
2025,Avocados,158320.547,104086.538,212554.556,0.03,0.0,Reference warming trend,158320.547,0.0
2030,Avocados,160654.594,106420.585,214888.603,0.18,0.0,Reference warming trend,160654.594,0.0
